어린이집명,소재지도로명주소,지오코딩용주소,주소변경여부,위도,경도,검색결과주소,매칭점수
무지개어린이집,경상남도 창원시 의창구 하남천서길21번길 9 (도계동),경상남도 창원시 의창구 하남천서길21번길 9,True,35.261241777456,128.638768302574,경상남도 창원시 의창구 도계동 하남천서길21번길 9,100.0
브레인영재어린이집,경상남도 창원시 의창구 도계로60번길 9-8 브레인영재어린이집,경상남도 창원시 의창구 도계로60번길 9-8,True,35.258294281204,128.637121342419,경상남도 창원시 의창구 도계동 도계로60번길 9-8,100.0
새순어린이집,경상남도 창원시 의창구 도계로 116 새순교회 1층 (도계동),경상남도 창원시 의창구 도계로 116,True,35.255020770829,128.640955476389,경상남도 창원시 의창구 도계동 도계로 116,100.0
아이사랑어린이집,경상남도 창원시 의창구 도계로95번길 13,경상남도 창원시 의창구 도계로95번길 13,False,35.257311293509,128.641354203523,경상남도 창원시 의창구 도계동 도계로95번길 13,100.0
양지어린이집,경상남도 창원시 의창구 도계로60번길 5-18,경상남도 창원시 의창구 도계로60번길 5-18,False,35.258162140501,128.637815615459,경상남도 창원시 의창구 도계동 도계로60번길 5-18,100.0
예림어린이집,"경상남도 창원시 의창구 도계로 135 관리동1층(명서동,두산위브아파트)",경상남도 창원시 의창구 도계로 135,True,35.253082120443,128.643021699341,경상남도 창원시 의창구 명서동 도계로 135,100.0
키즈숲어린이집,경상남도 창원시 의창구 원이대로69번길 6-5 1층 (도계동),경상남도 창원시 의창구 원이대로69번길 6-5,True,35.256627833125,128.636264209001,경상남도 창원시 의창구 도계동 원이대로69번길 6-5,100.0
하버드영재어린이집,"경상남도 창원시 의창구 태복산로7번길 36 102호, 103호 (도계동, 형제골든빌라)",경상남도 창원시 의창구 태복산로7번길 36,True,35.255530683908,128.637160402088,경상남도 창원시 의창구 도계동 태복산로7번길 36,100.0
행복한아이어린이집,경상남도 창원시 의창구 원이대로69번길 6-11 (도계동),경상남도 창원시 의창구 원이대로69번길 6-11,True,35.256409358818,128.636433439626,경상남도 창원시 의창구 도계동 원이대로69번길 6-11,100.0
나무향기어린이집,경상남도 창원시 의창구 명서로123번길 8 (명서동),경상남도 창원시 의창구 명서로123번길 8,True,35.245945307075,128.648178413812,경상남도 창원시 의창구 명서동 명서로123번길 8,100.0
샘물어린이집,경상남도 창원시 의창구 명서로 72 (명서동),경상남도 창원시 의창구 명서로 72,True,35.25087231549,128.648124350537,경상남도 창원시 의창구 명서동 명서로 72,100.0
성신어린이집,경상남도 창원시 의창구 지귀로 37 (명서동),경상남도 창원시 의창구 지귀로 37,True,35.24663656263,128.650587372785,경상남도 창원시 의창구 명서동 지귀로 37,100.0
소망어린이집,경상남도 창원시 의창구 명지로93번길 6-1,경상남도 창원시 의창구 명지로93번길 6-1,False,35.24894535786,128.648604382132,경상남도 창원시 의창구 명서동 명지로93번길 6-1,100.0
신나는어린이집,경상남도 창원시 의창구 우곡로85번길 13-1,경상남도 창원시 의창구 우곡로85번길 13-1,False,35.245830558821,128.641071314291,경상남도 창원시 의창구 명서동 우곡로85번길 13-1,100.0
파티마어린이집,"경상남도 창원시 의창구 창이대로 45 (명서동,창원파티마병원)",경상남도 창원시 의창구 창이대로 45,True,35.238024618122,128.645346168729,경상남도 창원시 의창구 명서동 창이대로 45,100.0
창원시립 봉곡어린이집,경상남도 창원시 의창구 창이대로 195 (봉곡동),경상남도 창원시 의창구 창이대로 195,True,35.244976275249,128.65871220299,경상남도 창원시 의창구 봉곡동 창이대로 195,100.0
창원시립 사림어린이집,경상남도 창원시 의창구 창이대로397번길 17,경상남도 창원시 의창구 창이대로397번길 17,False,35.244481156228,128.680686116536,경상남도 창원시 의창구 사림동 창이대로397번길 17,100.0
성아어린이집,경상남도 창원시 의창구 창이대로309번길 54 (봉곡동),경상남도 창원시 의창구 창이대로309번길 54,True,35.249615658657,128.668533446579,경상남도 창원시 의창구 봉곡동 창이대로309번길 54,100.0
새창원교회부설어린이집,경상남도 창원시 의창구 사림로149번길 42 (사림동),경상남도 창원시 의창구 사림로149번길 42,True,35.241553357449,128.690016767331,경상남도 창원시 의창구 사림동 사림로149번길 42,100.0
자연봄어린이집,경상남도 창원시 의창구 대봉로 25 휴먼시아2단지 복지동,경상남도 창원시 의창구 대봉로 25,True,35.251052484499,128.66538486847,경상남도 창원시 의창구 봉림동 대봉로 25,100.0
꿀벌어린이집,경상남도 창원시 의창구 사림로45번길 14-19,경상남도 창원시 의창구 사림로45번길 14-19,False,35.248190693207,128.679214505795,경상남도 창원시 의창구 사림동 사림로45번길 14-19,100.0
다정어린이집,경상남도 창원시 의창구 창이대로187번길 35-8,경상남도 창원시 의창구 창이대로187번길 35-8,False,35.246294119976,128.655718354814,경상남도 창원시 의창구 봉곡동 창이대로187번길 35-8,100.0
은비어린이집,경상남도 창원시 의창구 봉곡로 43 (봉곡동),경상남도 창원시 의창구 봉곡로 43,True,35.249391526566,128.66411400431,경상남도 창원시 의창구 봉곡동 봉곡로 43,100.0
피닉스자연숲어린이집,경상남도 창원시 의창구 대봉로 27 엘에이치피닉스포레주민복지관3단지,경상남도 창원시 의창구 대봉로 27,True,35.251690682607,128.664666790825,경상남도 창원시 의창구 봉림동 대봉로 27,100.0
휴먼어린이집,경상남도 창원시 의창구 봉곡로 55 (봉곡동),경상남도 창원시 의창구 봉곡로 55,True,35.249419857398,128.665484194022,경상남도 창원시 의창구 봉곡동 봉곡로 55,100.0
경상남도청어린이집,경상남도 창원시 의창구 상남로 318,경상남도 창원시 의창구 상남로 318,False,35.238307213987,128.695928104546,경상남도 창원시 의창구 사림동 상남로 318,100.0
국립창원대학교 직장어린이집,경상남도 창원시 의창구 창원대학로 20 (사림동),경상남도 창원시 의창구 창원대학로 20,True,35.244367329983,128.693313453669,경상남도 창원시 의창구 퇴촌동 창원대학로 20,100.0
미래나무어린이집,경상남도 창원시 의창구 봉곡로24번길 9,경상남도 창원시 의창구 봉곡로24번길 9,False,35.247960945241,128.664207043436,경상남도 창원시 의창구 봉곡동 봉곡로24번길 9,100.0
창원시립 감계아내어린이집,경상남도 창원시 의창구 북면 감계로 342 덕산아내에코프리미엄2차아파트,경상남도 창원시 의창구 북면 감계로 342,True,35.301948071132,128.59787743939,경상남도 창원시 의창구 북면 감계리 감계로 342,100.0
창원시립 감계은빛어린이집,경상남도 창원시 의창구 동전로 86 110동 103호(창원 감계 힐스테이트 1차),경상남도 창원시 의창구 동전로 86,True,35.303553498957,128.596357884163,경상남도 창원시 의창구 북면 감계리 동전로 86,100.0
창원시립 무동별빛어린이집,경상남도 창원시 의창구 무동안길 31 실제지번 무동리 345번지,경상남도 창원시 의창구 무동안길 31,True,35.317133774663,128.577935047717,경상남도 창원시 의창구 북면 무동리 무동안길 31,100.0
창원시립 무동어린이집,경상남도 창원시 의창구 북면 무동서로 24 무동센텀파라디아아파트,경상남도 창원시 의창구 북면 무동서로 24,True,35.318026153984,128.581952577728,경상남도 창원시 의창구 북면 무동리 무동서로 24,100.0
창원시립 북면어린이집,경상남도 창원시 의창구 북면 천주로1128번길 7 북면어린이집,경상남도 창원시 의창구 북면 천주로1128번길 7,True,35.350736698765,128.608782798335,경상남도 창원시 의창구 북면 신촌리 천주로1128번길 7,100.0
창원시립 빈세앙어린이집,경상남도 창원시 의창구 북면 감계로 222 천수림아파트 내,경상남도 창원시 의창구 북면 감계로 222,True,35.301224712888,128.588272532722,경상남도 창원시 의창구 북면 감계리 감계로 222,100.0
창원시립 예그린어린이집,경상남도 창원시 의창구 무동서로 76 창원무동 STX KAN 1차,경상남도 창원시 의창구 무동서로 76,True,35.322663441916,128.581886444512,경상남도 창원시 의창구 북면 무동리 무동서로 76,100.0
창원시립 예쁜아이어린이집,경상남도 창원시 의창구 감계로 277 창원감계아내에코프리미엄 107동,경상남도 창원시 의창구 감계로 277,True,35.302593016672,128.591121876888,경상남도 창원시 의창구 북면 감계리 감계로 277,100.0
창원시립 포레힐스데시앙어린이집,경상남도 창원시 의창구 감계로187번길 9,경상남도 창원시 의창구 감계로187번길 9,False,35.297818349347,128.584162382681,경상남도 창원시 의창구 북면 감계리 감계로187번길 9,100.0
바른손어린이집,경상남도 창원시 의창구 북면 천주로840번길 23,경상남도 창원시 의창구 북면 천주로840번길 23,False,35.329138126843,128.603495409993,경상남도 창원시 의창구 북면 무곡리 천주로840번길 23,100.0
즐거운성아어린이집,경상남도 창원시 의창구 북면 천주로 1251,경상남도 창원시 의창구 북면 천주로 1251,False,35.358569042458,128.616801848922,경상남도 창원시 의창구 북면 신촌리 천주로 1251,100.0
나무와샘어린이집,경상남도 창원시 의창구 북면 동곡로 33 103동 103호(휴먼빌1단지아파트),경상남도 창원시 의창구 북면 동곡로 33,True,35.31883509146,128.583415052194,경상남도 창원시 의창구 북면 무동리 동곡로 33,100.0
무동애플키즈어린이집,경상남도 창원시 의창구 북면 무동로226번길 19 창원무동지구 휴먼빌아파트 3단지내,경상남도 창원시 의창구 북면 무동로226번길 19,True,35.317873016613,128.584183337439,경상남도 창원시 의창구 북면 무동리 무동로226번길 19,100.0
숲속하늘빛어린이집,경상남도 창원시 의창구 북면 동곡로 35 복리동(휴먼빌2단지아파트),경상남도 창원시 의창구 북면 동곡로 35,True,35.320470442679,128.582769645649,경상남도 창원시 의창구 북면 무동리 동곡로 35,100.0
아라숲어린이집,경상남도 창원시 의창구 북면 감계로 233 감계힐스테이트 4차 복지시설,경상남도 창원시 의창구 북면 감계로 233,True,35.30232307748,128.585125295718,경상남도 창원시 의창구 북면 감계리 감계로 233,100.0
지안어린이집,경상남도 창원시 의창구 북면 무동로267번길 10 창원무동STX KAN2차 아파트내,경상남도 창원시 의창구 북면 무동로267번길 10,True,35.315601604672,128.579433564367,경상남도 창원시 의창구 북면 무동리 무동로267번길 10,100.0
키즈엘리스숲어린이집,경상남도 창원시 의창구 북면 동전로 179-39,경상남도 창원시 의창구 북면 동전로 179-39,False,35.31072451049,128.595943818146,경상남도 창원시 의창구 북면 동전리 동전로 179-39,100.0
키즈힐스어린이집,경상남도 창원시 의창구 북면 동전로 86 감계힐스테이트 1차 내,경상남도 창원시 의창구 북면 동전로 86,True,35.303553498957,128.596357884163,경상남도 창원시 의창구 북면 감계리 동전로 86,100.0
푸르지오어린이집,경상남도 창원시 의창구 북면 감계로 221 (감계푸르지오아파트 관리동),경상남도 창원시 의창구 북면 감계로 221,True,35.301032599668,128.585989553754,경상남도 창원시 의창구 북면 감계리 감계로 221,100.0
휴먼빌어린이집,경상남도 창원시 의창구 북면 감계로 297 감계지구 휴먼빌아파트 내,경상남도 창원시 의창구 북면 감계로 297,True,35.303173044372,128.594853919276,경상남도 창원시 의창구 북면 감계리 감계로 297,100.0
힐스뜰어린이집,경상남도 창원시 의창구 북면 감계로 259 창원감계힐스테이트 3차 관리동,경상남도 창원시 의창구 북면 감계로 259,True,35.302559237602,128.589610033012,경상남도 창원시 의창구 북면 감계리 감계로 259,100.0
힐스아이어린이집,경상남도 창원시 의창구 북면 감계로 341 관리동 (창원 감계 힐스테이트 2차),경상남도 창원시 의창구 북면 감계로 341,True,35.303561671313,128.598832138162,경상남도 창원시 의창구 북면 감계리 감계로 341,100.0
꼬마숲어린이집,경상남도 창원시 의창구 북면 감계로 259 303동 101호(감계힐스테이트3차),경상남도 창원시 의창구 북면 감계로 259,True,35.302559237602,128.589610033012,경상남도 창원시 의창구 북면 감계리 감계로 259,100.0
꿈땅어린이집,경상남도 창원시 의창구 북면 동전로 86 110동 101호(창원감계지구힐스테이트1차),경상남도 창원시 의창구 북면 동전로 86,True,35.303553498957,128.596357884163,경상남도 창원시 의창구 북면 감계리 동전로 86,100.0
다인어린이집,경상남도 창원시 의창구 북면 동전로 86 111동 102호(창원감계지구힐스테이트1차),경상남도 창원시 의창구 북면 동전로 86,True,35.303553498957,128.596357884163,경상남도 창원시 의창구 북면 감계리 동전로 86,100.0
다하어린이집,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 405동 103호,경상남도 창원시 의창구 북면 감계로 233,True,35.30232307748,128.585125295718,경상남도 창원시 의창구 북면 감계리 감계로 233,100.0
라니어린이집,경상남도 창원시 의창구 북면 감계로 277 105동 103호(창원감계아내에코프리미엄),경상남도 창원시 의창구 북면 감계로 277,True,35.302593016672,128.591121876888,경상남도 창원시 의창구 북면 감계리 감계로 277,100.0
라별어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 210동 104호,경상남도 창원시 의창구 북면 감계로 341,True,35.303561671313,128.598832138162,경상남도 창원시 의창구 북면 감계리 감계로 341,100.0
무동아이별어린이집,경상남도 창원시 의창구 북면 무동로226번길 19 301동 102호(무동지구휴먼빌3차아파트),경상남도 창원시 의창구 북면 무동로226번길 19,True,35.317873016613,128.584183337439,경상남도 창원시 의창구 북면 무동리 무동로226번길 19,100.0
무지개꼬마숲어린이집,경상남도 창원시 의창구 북면 감계로 297 105동 103호(창원감계지구휴먼빌아파트),경상남도 창원시 의창구 북면 감계로 297,True,35.303173044372,128.594853919276,경상남도 창원시 의창구 북면 감계리 감계로 297,100.0
별하어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 204동 101호,경상남도 창원시 의창구 북면 감계로 341,True,35.303561671313,128.598832138162,경상남도 창원시 의창구 북면 감계리 감계로 341,100.0
아가별꽃어린이집,경상남도 창원시 의창구 감계로 277 109동 104호(창원감계아내에코프리미엄),경상남도 창원시 의창구 감계로 277,True,35.302593016672,128.591121876888,경상남도 창원시 의창구 북면 감계리 감계로 277,100.0
아이꽃어린이집,경상남도 창원시 의창구 북면 동곡로 35 205동 104호(창원무동지구휴멀빌아파트2단지),경상남도 창원시 의창구 북면 동곡로 35,True,35.320470442679,128.582769645649,경상남도 창원시 의창구 북면 무동리 동곡로 35,100.0
재미난어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 209동 101호,경상남도 창원시 의창구 북면 감계로 341,True,35.303561671313,128.598832138162,경상남도 창원시 의창구 북면 감계리 감계로 341,100.0
행복한어린이집,경상남도 창원시 의창구 북면 온천로 528,경상남도 창원시 의창구 북면 온천로 528,False,35.359073842577,128.577991122649,경상남도 창원시 의창구 북면 상천리 온천로 528,100.0
힐스도담어린이집,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 404동 103호,경상남도 창원시 의창구 북면 감계로 233,True,35.30232307748,128.585125295718,경상남도 창원시 의창구 북면 감계리 감계로 233,100.0
창원시립 유니시티1단지어린이집,"경상남도 창원시 의창구 중동로 34 (중동,창원중동유니시티1단지)",경상남도 창원시 의창구 중동로 34,True,35.252901658068,128.623332022048,경상남도 창원시 의창구 중동 중동로 34,100.0
창원시립 유니시티2단지어린이집,"경상남도 창원시 의창구 중동로 33 (중동, 창원중동유니시티2단지)",경상남도 창원시 의창구 중동로 33,True,35.257150025692,128.626699786925,경상남도 창원시 의창구 중동 중동로 33,100.0
창원시립 유니시티3단지어린이집,"경상남도 창원시 의창구 중동로 77 ,302동(중동,창원중동유니시티3단지)",경상남도 창원시 의창구 중동로 77,True,35.257472016503,128.630896438207,경상남도 창원시 의창구 중동 중동로 77,100.0
창원시립 유니시티4단지어린이집,"경상남도 창원시 의창구 중동로 78 403동(중동, 창원중동유니시티4단지)",경상남도 창원시 의창구 중동로 78,True,35.254710472773,128.63102686062,경상남도 창원시 의창구 중동 중동로 78,100.0
창원시립 의안어린이집,경상남도 창원시 의창구 중동남로 8 창원시립의안어린이집,경상남도 창원시 의창구 중동남로 8,True,35.253252440716,128.621126659504,경상남도 창원시 의창구 중동 중동남로 8,100.0
다숲어린이집,경상남도 창원시 의창구 팔용로 512 대동다숲아파트 복리동 1층 (서상동),경상남도 창원시 의창구 팔용로 512,True,35.260706551029,128.620131559959,경상남도 창원시 의창구 서상동 팔용로 512,100.0
소답어린이집,"경상남도 창원시 의창구 의안로56번길 20 국도아트빌상가 101, 102호 (소답동)",경상남도 창원시 의창구 의안로56번길 20,True,35.266453267665,128.626085477241,경상남도 창원시 의창구 소답동 의안로56번길 20,100.0
오즈놀이스쿨어린이집,경상남도 창원시 의창구 의안로59번길 22 (북동),경상남도 창원시 의창구 의안로59번길 22,True,35.267070469105,128.621549275062,경상남도 창원시 의창구 북동 의안로59번길 22,100.0
창원어린이집,경상남도 창원시 의창구  의안로59번길 6 (소답동) 1층,경상남도 창원시 의창구 의안로59번길 6,True,35.267724886196,128.623503934882,경상남도 창원시 의창구 소답동 의안로59번길 6,100.0
코끼리영재어린이집,경상남도 창원시 의창구 의안로44번길 27-2,경상남도 창원시 의창구 의안로44번길 27-2,False,35.26581138152,128.627183590376,경상남도 창원시 의창구 소답동 의안로44번길 27-2,100.0
큰별예나어린이집,경상남도 창원시 의창구 의안로32번길 7 1층 (소답동),경상남도 창원시 의창구 의안로32번길 7,True,35.264582594514,128.624665499024,경상남도 창원시 의창구 소답동 의안로32번길 7,100.0
아이도담어린이집,경상남도 창원시 의창구 의안로27번길 2 에이스빌라 101호 (중동),경상남도 창원시 의창구 의안로27번길 2,True,35.264068658121,128.623660927929,경상남도 창원시 의창구 중동 의안로27번길 2,100.0
행복어린이집,경상남도 창원시 의창구 금강로379번길 49-6,경상남도 창원시 의창구 금강로379번길 49-6,False,35.260759943752,128.598416395764,경상남도 창원시 의창구 소계동 금강로379번길 49-6,100.0
창원시립 힐스아티움어린이집,"경상남도 창원시 의창구 창원대로397번길 11 103동 1층(팔용동,힐스테이트 아티움시티)",경상남도 창원시 의창구 창원대로397번길 11,True,35.23545799555,128.641481440813,경상남도 창원시 의창구 팔용동 창원대로397번길 11,100.0
세계어린이집,경상남도 창원시 의창구 남산로9번길 45 (팔용동),경상남도 창원시 의창구 남산로9번길 45,True,35.261243034741,128.615741035256,경상남도 창원시 의창구 팔용동 남산로9번길 45,100.0
보광어린이집,경상남도 창원시 의창구 의창대로180번길 5 (팔용동) 198-4,경상남도 창원시 의창구 의창대로180번길 5,True,35.260957547119,128.617570469443,경상남도 창원시 의창구 팔용동 의창대로180번길 5,100.0
예명산새소리어린이집,경상남도 창원시 의창구 반계로 101 대동중앙아파트 복지관 2층,경상남도 창원시 의창구 반계로 101,True,35.256109244775,128.616073210079,경상남도 창원시 의창구 팔용동 반계로 101,100.0
큰한샘어린이집,경상남도 창원시 의창구 의창대로116번길 21-3,경상남도 창원시 의창구 의창대로116번길 21-3,False,35.259611958293,128.613181369665,경상남도 창원시 의창구 팔용동 의창대로116번길 21-3,100.0
한샘어린이집,"경상남도 창원시 의창구 남산로 20 310동 1층(팔용동, 원풍벽산아파트)",경상남도 창원시 의창구 남산로 20,True,35.258565310044,128.612829162093,경상남도 창원시 의창구 팔용동 남산로 20,100.0
햇님어린이집,경상남도 창원시 의창구 남산로9번길 32-1,경상남도 창원시 의창구 남산로9번길 32-1,False,35.261041743337,128.614424070629,경상남도 창원시 의창구 팔용동 남산로9번길 32-1,100.0
꼬망쎄어린이집,"경상남도 창원시 의창구 반계로 104-8 107동 102호(팔용동, 원풍벽산아파트)",경상남도 창원시 의창구 반계로 104-8,True,35.252627150739,128.618195675601,경상남도 창원시 의창구 팔용동 반계로 104-8,100.0
꿈나래어린이집,"경상남도 창원시 의창구 반계로 104-8 107동 103호(팔용동, 원풍벽산아파트)",경상남도 창원시 의창구 반계로 104-8,True,35.252627150739,128.618195675601,경상남도 창원시 의창구 팔용동 반계로 104-8,100.0
꿈쟁이어린이집,"경상남도 창원시 의창구 팔용로 446 106동 107호(팔용동, 극동아파트)",경상남도 창원시 의창구 팔용로 446,True,35.255073954004,128.613697946357,경상남도 창원시 의창구 팔용동 팔용로 446,100.0
누리천사어린이집,"경상남도 창원시 의창구 팔용로 446 101동 108호(팔용동,극동아파트)",경상남도 창원시 의창구 팔용로 446,True,35.255073954004,128.613697946357,경상남도 창원시 의창구 팔용동 팔용로 446,100.0
동화어린이집,경상남도 창원시 의창구 반계로 104-21 104동 105호(팔용동),경상남도 창원시 의창구 반계로 104-21,True,35.254101359869,128.618705882048,경상남도 창원시 의창구 팔용동 반계로 104-21,100.0
배꼽또래어린이집,경상남도 창원시 의창구 반계로 104-8 106동 103호(벽산블루밍아파트B단지),경상남도 창원시 의창구 반계로 104-8,True,35.252627150739,128.618195675601,경상남도 창원시 의창구 팔용동 반계로 104-8,100.0
벽산어린이집,"경상남도 창원시 의창구 반계로 98 109동 102호(팔용동, 원풍벽산아파트)",경상남도 창원시 의창구 반계로 98,True,35.253722623574,128.616484761525,경상남도 창원시 의창구 팔용동 반계로 98,100.0
새하얀어린이집,"경상남도 창원시 의창구 반계로 110 205동 102호(팔용동, 벽산블루밍아파트A단지)",경상남도 창원시 의창구 반계로 110,True,35.254706198003,128.617297387038,경상남도 창원시 의창구 팔용동 반계로 110,100.0
큰자람어린이집,"경상남도 창원시 의창구 반계로 98 117동 102호(팔용동, 원풍벽산아파트)",경상남도 창원시 의창구 반계로 98,True,35.253722623574,128.616484761525,경상남도 창원시 의창구 팔용동 반계로 98,100.0
키콕스 꿈드림 어린이집,경상남도 창원시 의창구 차룡로48번길 62,경상남도 창원시 의창구 차룡로48번길 62,False,35.240378130805,128.633168855977,경상남도 창원시 의창구 팔용동 차룡로48번길 62,100.0
창원시립 가음꿈에그린어린이집,경상남도 창원시 성산구 원이대로878번길 9 창원가음꿈에그린아파트 관리동,경상남도 창원시 성산구 원이대로878번길 9,True,35.207658826936,128.692033369416,경상남도 창원시 성산구 가음동 원이대로878번길 9,100.0
창원시립 가음더샵어린이집,경상남도 창원시 성산구 원이대로863번길 19 더샵센터럴파크2단지아파트 관리동,경상남도 창원시 성산구 원이대로863번길 19,True,35.208267562654,128.69855591501,경상남도 창원시 성산구 가음동 원이대로863번길 19,100.0
창원시립 가음어린이집,경상남도 창원시 성산구 가양로56번길 18,경상남도 창원시 성산구 가양로56번길 18,False,35.205717159065,128.701809266909,경상남도 창원시 성산구 가음동 가양로56번길 18,100.0
창원시립 센텀푸르지오어린이집,"경상남도 창원시 성산구 가음정로 59 (가음동, 창원센텀푸르지오아파트)",경상남도 창원시 성산구 가음정로 59,True,35.20974214897,128.689630445414,경상남도 창원시 성산구 가음동 가음정로 59,100.0
창원시립 조은어린이집,경상남도 창원시 성산구 대정로 100 개나리3차아파트 복리동 1층,경상남도 창원시 성산구 대정로 100,True,35.210453521093,128.702905787482,경상남도 창원시 성산구 남양동 대정로 100,100.0
창원시립 창원YWCA어린이집,경상남도 창원시 성산구 대정로20번길 11 1층,경상남도 창원시 성산구 대정로20번길 11,True,35.206156454611,128.699125884426,경상남도 창원시 성산구 가음동 대정로20번길 11,100.0
근로복지공단 창원어린이집,경상남도 창원시 성산구 대암로 32-15,경상남도 창원시 성산구 대암로 32-15,False,35.213395946293,128.700556256203,경상남도 창원시 성산구 남양동 대암로 32-15,100.0
더샵늘푸른어린이집,경상남도 창원시 성산구 원이대로863번길 7 더샵센트럴파크3단지아파트 관리동,경상남도 창원시 성산구 원이대로863번길 7,True,35.210739302081,128.697183294546,경상남도 창원시 성산구 가음동 원이대로863번길 7,100.0
더샵어린이집,경상남도 창원시 성산구 대정로40번길 7 창원더샵센트럴파크 1단지 관리동,경상남도 창원시 성산구 대정로40번길 7,True,35.207720559653,128.699466273514,경상남도 창원시 성산구 가음동 대정로40번길 7,100.0
솔라어린이집,경상남도 창원시 성산구 대정로 99 성원2차아파트 관리동 2층,경상남도 창원시 성산구 대정로 99,True,35.211748692771,128.703109300091,경상남도 창원시 성산구 남양동 대정로 99,100.0
하늘빛어린이집,경상남도 창원시 성산구 가양로 97 개나리4차 복지동2층,경상남도 창원시 성산구 가양로 97,True,35.209181106281,128.703818995833,경상남도 창원시 성산구 남양동 가양로 97,100.0
동화속어린이집,"경상남도 창원시 성산구 대정로 73 109동 103호(남양동, 성원1차아파트)",경상남도 창원시 성산구 대정로 73,True,35.211865452683,128.700707801013,경상남도 창원시 성산구 남양동 대정로 73,100.0
맑은숲어린이집,"경상남도 창원시 성산구 대정로 84 204동 102호(남양동,피오르빌아파트)",경상남도 창원시 성산구 대정로 84,True,35.209865237218,128.700827326952,경상남도 창원시 성산구 남양동 대정로 84,100.0
